date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:14:00	170638/170638	---M--	200	added ('OK')	image/png	etag:%2229a8e-632a912f-92e4ff8aef2fc63;;;%22	https://weblearnbd.net/tphtml/ninico/assets/img/slider/slider-03.png	D:/AriBilgiWebProject/Ninico/weblearnbd.net/tphtml/ninico/assets/img/slider/slider-03.png	(from https://weblearnbd.net/tphtml/ninico/index-2.html)
17:14:00	8810/8810	---M--	200	added ('OK')	image/jpeg	etag:%22226a-632a912f-9c7bf15d4c8dfe05;;;%22	https://weblearnbd.net/tphtml/ninico/assets/img/banner/banner-2-02.jpg	D:/AriBilgiWebProject/Ninico/weblearnbd.net/tphtml/ninico/assets/img/banner/banner-2-02.jpg	(from https://weblearnbd.net/tphtml/ninico/index-2.html)
17:14:01	44470/44470	---M--	200	added ('OK')	image/jpeg	etag:%22adb6-632a912f-6eb8ec171507cbaa;;;%22	https://weblearnbd.net/tphtml/ninico/assets/img/banner/banner-offer-02.jpg	D:/AriBilgiWebProject/Ninico/weblearnbd.net/tphtml/ninico/assets/img/banner/banner-offer-02.jpg	(from https://weblearnbd.net/tphtml/ninico/index-2.html)
17:14:01	30862/30862	---M--	200	added ('OK')	image/jpeg	etag:%22788e-632a912f-db0d3568da72266c;;;%22	https://weblearnbd.net/tphtml/ninico/assets/img/blog/blog-01.jpg	D:/AriBilgiWebProject/Ninico/weblearnbd.net/tphtml/ninico/assets/img/blog/blog-01.jpg	(from https://weblearnbd.net/tphtml/ninico/index-2.html)
17:14:01	224084/224084	---M--	200	added ('OK')	image/jpeg	etag:%2236b54-632a912f-bba7ce119f20d081;;;%22	https://weblearnbd.net/tphtml/ninico/assets/img/banner/banner-offer-01.jpg	D:/AriBilgiWebProject/Ninico/weblearnbd.net/tphtml/ninico/assets/img/banner/banner-offer-01.jpg	(from https://weblearnbd.net/tphtml/ninico/index-2.html)
17:14:01	21099/21099	---M--	200	added ('OK')	image/jpeg	etag:%22526b-632a912f-a1c3ce1a2c2f3c78;;;%22	https://weblearnbd.net/tphtml/ninico/assets/img/blog/blog-02.jpg	D:/AriBilgiWebProject/Ninico/weblearnbd.net/tphtml/ninico/assets/img/blog/blog-02.jpg	(from https://weblearnbd.net/tphtml/ninico/index-2.html)
17:14:02	27102/27102	---M--	200	added ('OK')	image/jpeg	etag:%2269de-632a912f-28d28be6a7b49d17;;;%22	https://weblearnbd.net/tphtml/ninico/assets/img/blog/blog-03.jpg	D:/AriBilgiWebProject/Ninico/weblearnbd.net/tphtml/ninico/assets/img/blog/blog-03.jpg	(from https://weblearnbd.net/tphtml/ninico/index-2.html)
17:14:02	2483/2483	---M--	200	added ('OK')	image/png	etag:%229b3-632a912f-fc0f2a8e49bf7a3b;;;%22	https://weblearnbd.net/tphtml/ninico/assets/img/brand/brand-01.png	D:/AriBilgiWebProject/Ninico/weblearnbd.net/tphtml/ninico/assets/img/brand/brand-01.png	(from https://weblearnbd.net/tphtml/ninico/index-2.html)
17:14:02	2104/2104	---M--	200	added ('OK')	image/png	etag:%22838-632a912f-84496ba239ce19ef;;;%22	https://weblearnbd.net/tphtml/ninico/assets/img/brand/brand-02.png	D:/AriBilgiWebProject/Ninico/weblearnbd.net/tphtml/ninico/assets/img/brand/brand-02.png	(from https://weblearnbd.net/tphtml/ninico/index-2.html)
17:14:02	4694/4694	---M--	200	added ('OK')	image/png	etag:%221256-632a912f-a5e109266d640076;;;%22	https://weblearnbd.net/tphtml/ninico/assets/img/brand/brand-03.png	D:/AriBilgiWebProject/Ninico/weblearnbd.net/tphtml/ninico/assets/img/brand/brand-03.png	(from https://weblearnbd.net/tphtml/ninico/index-2.html)
